#RNA-seq raw count
len_rna	es1_rna	es2_rna	es3_rna	npc1_rna	npc2_rna	npc3_rna
AL035413.2	339	0	1	0	2	0	2
AKR7L	2768	7	13	9	33	44	40
AKR7A3	1215	8	16	14	42	66	63
AL035413.1	525	0	0	0	0	0	0
AKR7A2	1781	565	763	223	1471	1854	1716
RNU6-1099P	107	3	1	8	5	11	16
PQLC2	2686	245	314	105	515	668	526
CAPZB	3239	5556	7308	5027	5955	7641	7279
RN7SL277P	288	0	0	0	0	0	0
MICOS10	5480	173	232	225	147	223	194
RNU4-28P	141	0	0	0	0	0	0
AL031727.2	207	2	2	2	2	0	0
NBL1	3596	263	392	149	534	652	564
MICOS10-NBL1	1276	0	0	0	0	0	0
AL031727.1	455	8	14	12	9	9	14
HTR6	3800	34	33	6	15	23	14
TMCO4	4054	195	252	154	80	59	72
RNF186	1255	0	0	0	0	0	0
AL391883.1	447	0	0	0	0	0	0
OTUD3	6885	631	672	771	1507	2097	2203
PLA2G2E	785	0	0	0	0	0	0
RN7SL304P	301	0	0	0	0	0	0
PLA2G2A	1685	37	39	18	0	0	0
PLA2G5	3342	0	1	1	0	0	0
PLA2G2D	2681	0	0	0	0	0	0
PLA2G2F	6440	0	0	0	0	0	0
Z98257.1	2930	0	1	0	0	0	0
PLA2G2C	3298	0	0	0	0	0	1
UBXN10-AS1	510	2	5	0	0	0	2
UBXN10	5562	112	138	102	46	57	65
LINC01757	646	0	0	0	0	0	0
Z98257.2	1639	0	0	0	0	0	0
VWA5B1	6377	67	113	45	10	12	4
AL020998.1	229	0	0	0	0	0	0
LINC01141	4303	0	1	0	0	0	0
AL139254.1	376	0	3	0	0	0	0
AL139254.2	1340	0	0	0	0	0	0
AL139254.3	674	0	0	0	0	1	0
CAMK2N1	2605	238	274	210	169	194	198
MUL1	2428	970	1207	683	1277	1631	1456
RPS4XP4	763	0	0	0	0	0	1
FAM43B	2448	17	30	16	9	9	9
CDA	820	139	173	73	58	76	70
PINK1	4833	845	1082	577	566	818	682
MIR6084	110	0	0	0	0	0	0
PINK1-AS	4443	222	284	221	345	473	427
DDOST	2721	5348	7336	4112	6957	9469	8167
KIF17	4470	146	189	75	342	570	455
AL663074.2	479	1	5	2	1	3	2
SH2D5	4487	658	864	497	246	321	304
AL663074.1	299	0	0	0	0	0	1
HP1BP3	7402	2175	2693	2918	4253	5789	5488
EIF4G3	9596	1942	2558	2436	2386	3376	3148
RNU7-200P	62	0	0	0	0	0	0
MIR1256	119	2	2	1	2	12	9
RPS15AP6	385	4	3	4	13	2	23
AL627311.1	115	7	4	1	13	8	14
HSPE1P27	296	0	0	0	0	0	0
AL031005.2	1111	9	10	6	3	5	11
ECE1	7308	2235	2898	1536	2651	3417	2967
AL031005.1	723	0	0	0	0	0	0
AL031728.1	2579	2	2	0	4	11	10
PPP1R11P1	376	0	0	0	0	0	0
AL592309.1	649	0	0	0	0	0	0
AL592309.2	761	0	0	0	0	0	0
NBPF2P	661	42	81	65	81	98	82
HS6ST1P1	1234	0	0	1	0	1	1
CROCCP5	830	0	0	0	0	1	0
NBPF3	6812	350	455	328	491	681	682
PFN1P10	327	0	0	0	0	0	0
ALPL	2980	4983	7105	3068	6819	8512	7225
LINC02596	821	5	4	1	2	10	10
RAP1GAP	5755	312	416	225	471	618	544
USP48	9497	1506	1833	1842	1245	1776	1649
AL590103.1	307	0	0	0	0	0	0
LDLRAD2	4490	18	26	12	29	27	27
HSPG2	18118	3687	5220	1492	9542	12038	10212
AL590556.1	483	0	0	0	0	0	0
AL590556.2	1162	0	0	0	0	0	0
CELA3B	1541	0	0	0	0	0	0
AL590556.3	1611	0	0	0	0	0	0
RN7SL386P	297	0	0	0	0	0	0
RNU6-1022P	104	0	0	0	0	0	0
CELA3A	1224	0	0	0	2	0	1
RN7SL186P	297	0	0	0	0	0	0
RNU6-776P	104	0	0	0	0	0	0
LINC01635	1588	8	2	4	8	2	9
LINC00339	3764	140	202	143	266	356	291
CDC42	16278	5146	6728	6088	7804	10708	10369
AL031281.2	2574	0	1	0	2	1	3
AL031281.3	222	0	0	0	0	0	0
CDC42-IT1	692	7	8	3	10	19	11
AL031281.1	488	0	0	0	0	0	0
WNT4	4650	17	25	14	340	381	386
AL445253.1	811	2	3	2	22	16	15
MIR4418	62	0	0	0	0	0	0
PPIAP34	492	0	0	0	0	0	0
AL591122.1	1853	0	0	0	2	0	0
ZBTB40	9169	1385	1736	1284	1602	2182	1955
ZBTB40-IT1	273	4	8	11	15	9	8
EPHA8	5434	45	74	25	34	36	24
MIR6127	109	0	0	0	0	0	0
C1QA	1220	0	0	0	0	0	0
C1QC	1332	0	0	0	0	0	0
C1QB	1492	0	0	0	0	0	0
EPHB2	12516	1395	1884	969	2628	3616	3204
MIR4684	82	0	0	0	3	4	5
AL512444.1	480	0	0	0	0	0	0
MIR4253	68	0	0	0	0	0	0
LACTBL1	1641	0	0	0	0	0	0
TEX46	660	0	0	1	1	4	6
KDM1A	5440	10012	13017	9975	12683	16436	15650
AL031428.1	666	0	0	0	0	0	0
MIR3115	68	3	3	11	0	8	5
AL031428.2	77	0	0	0	0	0	0
LUZP1	9658	3121	3999	3814	8789	11756	11733
AL161672.1	818	0	0	0	0	0	0
RNU6-514P	107	0	0	0	0	0	0
RNU6-135P	101	0	0	0	0	0	0
HTR1D	2835	49	81	50	147	180	155
AL109936.1	460	0	0	0	0	0	0
LINC01355	6182	24	32	24	106	165	132
AL109936.6	604	0	0	0	0	0	0
HNRNPR	8676	2693	3521	3703	4055	5544	5822
ZNF436	4786	135	137	149	578	855	858
ZNF436-AS1	2674	7	6	3	143	151	145
AL109936.2	650	1	0	0	1	0	1
TCEA3	3515	4	2	3	12	11	17
AL357134.1	426	0	0	0	0	0	0
ASAP3	4988	2302	3155	1502	688	973	859
E2F2	5462	591	826	362	325	432	419
AL021154.1	456	8	11	14	11	13	7
ID3	1496	1357	2045	515	2449	3328	2716
AL450043.1	1322	0	1	0	1	1	0
MDS2	2142	0	1	0	0	1	0
AL451000.1	1186	0	0	0	0	0	0
RPL11	2659	4945	7334	4330	7731	10528	10063
ELOA-AS1	3086	73	105	65	160	252	202
ELOA	5391	2605	3178	3035	2544	3471	3257
PITHD1	2173	1462	1748	1432	2055	2757	2488
LYPLA2	2021	3249	4360	1832	2435	3152	2736
GALE	3955	451	611	210	412	515	455
HMGCL	5628	352	392	325	990	1309	1182
FUCA1	2047	193	257	273	261	321	339
CNR2	5265	0	0	0	2	0	0
BTBD6P1	1267	0	0	1	0	0	0
AL590609.3	210	0	0	0	0	0	0
MIR378F	78	0	0	0	0	0	0
AL590609.2	368	0	0	0	0	0	0
PNRC2	2763	1585	2241	2361	2008	2840	2874
SRSF10	10277	2931	3527	4187	3342	4319	4212
AL590609.1	328	0	1	0	0	0	0
AL591178.1	454	0	1	0	0	0	5
MYOM3	9214	5	5	0	16	23	26
AL591178.2	461	0	0	0	0	0	0
IL22RA1	2817	1	4	1	6	9	6
IFNLR1	4940	315	441	258	249	341	347
AL590683.1	1849	0	0	0	6	6	1
AL138902.1	856	2	4	0	4	1	0
GRHL3	3940	90	132	88	3925	4968	4379
STPG1	8511	169	238	136	558	697	620
NIPAL3	9396	491	561	490	795	1137	1087
RCAN3AS	762	0	6	5	0	0	3
RCAN3	7138	801	965	908	769	1098	1015
AL445686.2	1445	1	0	0	0	0	0
NCMAP	4146	7	13	14	4	0	1
AL445686.1	348	1	0	0	0	0	0
SRRM1	7922	3967	5265	5287	4818	6468	6046
AL445648.1	886	2	0	0	0	1	0
CLIC4	4467	6039	7479	7623	4976	6730	6875
RNU6-1208P	107	0	0	0	0	0	0
RUNX3	4523	50	59	39	0	15	15
MIR6731	72	0	0	0	0	0	0
AL445471.1	820	0	0	0	0	0	0
AL445471.2	2443	0	0	1	1	0	0
MIR4425	84	0	0	0	0	0	0
AL050344.2	1431	0	0	0	0	0	0
AL050344.1	863	0	0	0	1	0	0
AL121994.1	402	0	0	0	0	0	0
AL031432.1	988	0	0	0	0	0	0
SYF2	3773	130	175	202	250	287	310
AL031432.4	2190	28	43	35	57	63	71
AL031432.5	760	3	1	2	6	14	1
RSRP1	6730	392	459	404	1108	1493	1302
AL031432.3	485	3	2	4	2	3	1
AL031432.2	459	9	9	14	18	37	27
RHD	3313	0	3	0	1	1	0
SDHDP6	480	0	0	1	3	8	2
AL928711.1	459	10	6	4	11	14	10
TMEM50A	3010	1380	1713	1726	2237	3048	3016
RHCE	2433	2	6	3	18	15	18
AL031284.1	478	0	1	0	2	1	2
MACO1	3979	284	392	397	454	656	597
LDLRAP1	5397	807	966	481	573	650	582
AL606491.1	483	3	2	6	1	1	4
MAN1C1	9026	457	648	489	321	419	420
AL031280.1	2224	0	0	0	0	0	1
SELENON	4421	3164	4441	1956	4723	5604	5021
AL020996.2	792	0	0	0	0	0	0
AL020996.1	2793	10	11	9	30	26	34
MTFR1L	5797	642	837	584	1106	1429	1263
AL020996.3	222	0	0	0	0	0	0
AUNIP	2408	776	937	897	697	1046	890
AL033528.2	849	1	4	7	2	0	1
PAQR7	3297	224	283	131	271	377	364
STMN1	6247	5895	7534	6538	7587	10025	9971
SNRPFP2	251	0	0	0	0	0	0
AL033528.1	140	0	0	0	0	0	0
MIR3917	93	0	0	0	0	0	0
PAFAH2	3795	573	704	567	849	1241	1079
RNU6-110P	104	0	0	0	0	0	0
RF00492	554	0	0	0	0	0	0
RF00283	167	0	0	0	0	0	0
EXTL1	4537	30	22	23	61	88	61
SLC30A2	3498	9	15	14	48	79	88
AL391650.2	941	0	0	0	0	0	0
TRIM63	2573	0	0	0	0	3	0
PDIK1L	4560	109	86	157	173	192	269
FAM110D	2799	5	30	15	24	28	30
C1orf232	761	0	0	0	3	0	1
AL391650.1	2073	0	5	4	6	10	21
ZNF593	732	347	537	179	333	504	424
CNKSR1	3960	128	227	96	509	636	594
CATSPER4	2030	5	4	2	4	6	11
AL355877.1	3191	7	10	7	1	1	4
AL355877.3	899	0	0	0	0	0	1
CEP85	5145	1866	2401	1708	2540	3470	3114
AL355877.2	358	0	0	0	0	0	0
SH3BGRL3	876	619	828	264	1179	1389	1264
UBXN11	4704	221	309	141	477	590	545
CD52	934	3	3	4	29	28	40
CRYBG2	6895	605	809	314	522	718	626
AL451139.1	346	0	0	0	0	0	0
ZNF683	2379	0	0	0	0	0	0
LIN28A	3975	89598	104836	105873	121150	160514	147433
DHDDS	5608	1524	1954	1369	2392	3253	2995
AL513365.1	535	1	0	0	0	0	0
AL513365.2	1261	4	12	13	21	16	19
HMGN2	3189	7266	8710	8350	13082	17006	15143
DPPA2P2	897	0	0	0	0	0	0
RPS6KA1	5884	1996	2582	1320	2206	2865	2578
MIR1976	52	0	0	0	0	0	0
RN7SL679P	304	0	0	0	0	0	0
RNU7-29P	64	0	0	0	0	0	0
AL627313.1	238	0	0	0	0	0	0
RF01210	3120	1	0	4	3	5	3
AL627082.1	235	0	0	0	0	0	0
AL512408.1	2000	22	23	22	36	45	41
ARID1A	15939	7132	9056	6841	12211	15766	14192
PIGV	3382	360	389	238	530	743	652
RN7SL165P	291	0	0	1	1	4	8
AL034380.2	177	0	0	0	0	0	0
ZDHHC18	5460	1210	1544	882	2606	3316	2718
SFN	1308	214	279	102	174	276	248
GPN2	4966	660	812	400	942	1202	1157
AL034380.1	306	0	0	0	1	0	0
GPATCH3	2226	466	564	303	589	822	698
NUDC	2848	2262	3215	2054	1740	2102	2096
NR0B2	1165	0	0	0	0	0	0
KDF1	1855	211	317	89	121	215	154
RPL12P13	497	2	0	0	0	0	0
AL356390.1	397	0	0	0	2	1	0
OSTCP2	444	0	0	1	0	0	0
TRNP1	1979	1187	1501	1116	115	129	127
TENT5B	2382	3583	5018	2283	725	931	796
SLC9A1	6195	1129	1408	486	1066	1278	1108
AL590640.2	527	0	0	0	0	0	0
CHCHD3P3	640	1	0	1	0	0	0
NPM1P39	867	2	6	5	4	5	7
SNRPEP7	220	0	0	0	0	0	0
AL590640.1	379	2	0	0	1	0	0
WDTC1	5911	1214	1612	680	3125	3885	3446
FO393419.3	282	2	0	4	4	9	4
TMEM222	4476	738	1038	381	959	1163	1105
RNU6-48P	107	4	6	3	7	14	10
ACTG1P20	468	23	22	15	17	35	40
SYTL1	5584	87	105	31	444	526	465
MAP3K6	5746	273	408	165	562	707	561
FCN3	2167	4	1	0	6	1	6
CD164L2	1994	11	30	5	21	34	31
FO393419.1	355	0	0	0	0	0	0
GPR3	2137	274	407	159	257	315	265
WASF2	5681	6885	9004	6399	10166	13201	11761
FO393419.2	428	0	0	0	0	0	0
BX293535.1	283	5	1	0	2	3	2
AHDC1	8297	731	1143	363	3131	3939	3237
FGR	3382	11	15	3	0	1	4
AL031729.1	192	0	0	0	1	0	0
LINC02574	441	0	0	0	2	1	0
IFI6	842	35	29	13	56	94	72
AL445490.1	1651	1	0	0	0	0	2
RNU6-949P	107	0	0	0	0	0	0
CHMP1AP1	662	0	0	0	0	0	0
RNU6-424P	105	0	0	0	0	0	0
AL020997.5	935	3	3	3	4	9	5
FAM76A	4034	294	383	352	360	530	527
AL020997.1	349	5	5	2	2	4	4
RPEP3	676	1	5	0	2	6	4
STX12	3801	276	293	317	726	1069	1006
AL020997.2	184	6	3	3	12	12	11
AL020997.3	359	0	0	0	2	3	2
RNU6-1245P	106	0	0	0	0	1	0
AL020997.4	1471	1	2	5	2	4	5
PPP1R8	2815	1407	1611	1595	1906	2758	2481
SCARNA1	166	10	13	21	18	33	30
THEMIS2	4621	241	324	132	208	259	189
RPA2	1981	1375	1874	1504	2525	3237	3008
SMPDL3B	2663	811	927	628	258	302	290
AL512288.1	491	3	5	0	3	1	1
XKR8	2743	303	397	179	459	556	542
EYA3	6424	2159	2378	2417	2196	2784	2805
AL512288.2	367	2	1	1	4	2	9
RN7SL559P	297	5	7	4	15	10	2
SPCS2P4	681	6	10	5	3	13	11
AL137792.2	235	0	0	0	0	0	0
AL137792.1	557	0	0	0	0	0	0
RNU6-176P	105	0	0	0	0	0	0
PTAFR	4208	88	110	83	54	58	52
DNAJC8	2892	3064	4255	4018	3253	4721	4265
ATP5IF1	2225	288	394	259	188	222	226
AL353622.1	1945	5	7	6	5	17	8
AL353622.2	425	1	0	0	1	0	2
SESN2	3462	1153	1509	724	1892	2312	2002
MED18	2017	139	217	131	358	465	466
PHACTR4	7317	1517	2030	1748	2158	2637	2544
CR391992.1	394	6	7	11	6	16	19
RNU6ATAC27P	119	1	2	1	2	5	4
RCC1	3888	3505	4671	2869	2736	3826	3451
SNHG3	4088	6243	7930	5095	3897	5059	4461
SNORA73A	206	0	0	0	0	0	0
SNORA73B	204	1263	1581	943	1211	1712	1510
PRDX3P2	611	0	0	0	0	0	1
AL513497.1	2083	25	10	6	40	39	40
TRNAU1AP	4311	411	646	349	841	1241	1077
SNHG12	4266	900	1089	711	683	1053	959
SNORD99	74	12	19	19	11	16	11
SNORA61	130	0	0	0	0	0	0
SNORA44	132	0	0	0	0	0	0
SNORA16A	137	0	0	0	0	0	0
TAF12	2337	445	631	435	661	846	823
RAB42	2200	144	195	101	28	51	50
LINC01715	978	14	12	2	16	4	8
AL360012.1	131	0	0	0	0	0	0
RNU11	134	1	3	1	7	4	0
GMEB1	6459	1714	2058	1848	2056	2671	2623
RF00422	267	2	9	7	4	5	5
YTHDF2	3729	3948	4732	3998	5101	6515	6316
OPRD1	9345	180	222	153	224	379	318
AL009181.1	1085	2	2	2	1	0	1
EPB41	19993	3347	4095	4269	6675	9457	9454
AL138785.1	331	0	0	0	0	0	0
RF00017	48236	53	63	65	86	115	102
TMEM200B	2606	711	930	649	340	457	449
AL357500.1	279	6	7	5	3	11	8
SRSF4	8806	1710	2299	1822	2689	3754	3425
RF02271	6033	20	22	14	34	62	58
MECR	3922	667	909	498	898	1256	1175
AL590729.1	573	0	0	0	0	0	0
PTPRU	6682	2467	3310	1423	3357	4625	3793
LINC01756	2148	0	0	0	0	0	0
AL671862.1	349	0	1	0	0	0	0
AC092265.1	498	0	0	0	0	0	0
AL645944.2	1953	0	0	0	0	0	0
AL645944.1	493	0	0	0	0	0	0
LINC01648	1519	0	0	0	0	0	0
AL137076.1	551	0	0	0	0	0	0
AL021921.1	93	0	0	0	0	0	0
AL161638.2	507	0	0	0	0	0	0
AL161638.1	481	0	2	0	0	0	0
MATN1	4604	4	1	0	7	7	8
MATN1-AS1	4024	4	9	0	21	17	18
AL137857.1	1077	0	1	0	0	0	0
LAPTM5	3228	2	5	0	4	15	10
MIR4420	77	0	0	0	0	0	0
AL137027.1	444	0	0	0	0	0	0
LINC01778	2111	0	0	0	1	1	3
RN7SKP91	288	0	0	0	0	0	0
AL445235.1	1747	0	0	0	0	0	0
SDC3	7065	1681	2239	1237	3388	4447	3834
RN7SL371P	267	0	0	0	0	0	0
PUM1	6621	4183	5389	4212	7680	9986	9934
AL356320.2	507	0	0	0	0	0	0
AL356320.1	163	0	0	0	0	0	0
SELENOWP1	252	0	0	0	1	0	0
AC114495.1	436	0	0	0	0	0	0
NKAIN1	3320	1773	2448	1263	1287	1574	1286
SNRNP40	3887	3331	4142	2957	4668	6333	5658
AC114495.2	437	18	21	22	45	74	57
ZCCHC17	1921	1105	1435	1349	1479	2104	1915
AL451070.1	439	0	0	0	0	0	0
FABP3	1026	108	186	63	45	72	63
SERINC2	3452	424	647	176	694	792	651
AC209007.1	1342	0	0	0	0	0	0
RNU6-40P	107	0	0	0	0	0	0
LINC01225	3555	2	1	0	0	0	0
LINC01226	9848	0	1	0	0	0	0
AC114488.1	813	0	1	0	0	0	0
TINAGL1	5281	102	107	28	25	32	39
HCRTR1	2558	10	13	6	7	0	6
PEF1	2223	1106	1409	632	1549	1907	1720
AC114488.2	2216	0	3	4	15	6	13
AC114488.3	480	0	0	0	0	5	0
COL16A1	9253	246	298	128	366	456	422
ADGRB2	7756	1025	1400	566	763	1002	816
MIR4254	76	8	1	3	2	6	1
AL354919.2	537	0	0	0	0	0	0
SPOCD1	7085	33	21	18	61	114	105
AL354919.1	2257	1	1	0	0	1	0
AL136115.2	587	11	8	7	11	19	17
PTP4A2	6708	3660	4751	5341	4841	7010	6936
AL136115.1	517	0	0	0	0	0	0
AL136115.3	1873	0	0	0	0	0	0
KHDRBS1	3544	6956	8437	9376	10599	14462	13288
AL445248.1	624	0	0	0	0	0	0
TMEM39B	2787	426	517	191	607	790	683
MIR5585	59	0	0	0	1	3	5
KPNA6	7457	7496	9383	8540	9019	12823	12113
AL049795.2	667	0	0	0	0	0	0
TXLNA	5114	4166	5193	3498	5225	6864	6260
CCDC28B	2818	326	443	224	212	294	287
AL049795.1	1357	7	12	9	56	84	63
IQCC	2478	189	251	155	361	435	428
DCDC2B	1869	2	1	1	5	4	5
TMEM234	3571	158	262	104	417	507	520
EIF3I	1725	5714	7771	4305	6165	8168	7260
MTMR9LP	2961	134	216	95	266	380	370
FAM167B	947	25	32	29	50	74	50
LCK	3339	1285	1651	694	38	54	51
HDAC1	3966	2635	3059	2673	3449	4743	4206
MARCKSL1	1546	11272	14571	8100	11386	15360	12747
AL109945.1	687	0	0	0	1	4	8
TSSK3	1849	2	22	7	49	37	49
FAM229A	2845	52	70	34	217	243	249
BSDC1	6271	1346	1920	1116	2479	3548	3226
GAPDHP20	1007	0	0	0	0	0	0
AL356986.1	341	0	3	0	0	3	2
LRRC37A12P	1801	9	15	9	0	0	0
RN7SL122P	301	0	0	0	0	0	0
AL033529.1	3447	0	0	0	1	3	0
ZBTB8B	12831	280	321	351	357	519	468
ZBTB8A	7077	154	216	276	268	399	389
ZBTB8OS	3531	334	347	351	373	520	542
RBBP4	9470	12803	13943	16478	17758	23987	23316
SYNC	3487	0	3	1	6	2	0
AC114489.1	395	0	0	0	6	0	0
KIAA1522	6020	1720	2283	927	1636	2061	1723
YARS	8212	9072	10959	8742	5689	7479	7192
S100PBP	9190	1983	2156	2130	2584	3432	3430
FNDC5	3199	57	106	53	140	196	165
HPCA	1964	13	23	8	19	36	25
TMEM54	1417	229	339	72	112	131	129
AL031602.2	575	0	0	0	1	0	0
RNF19B	2610	553	728	570	873	1159	1061
AL031602.1	911	0	1	0	0	0	1
AL355864.1	526	0	0	0	2	0	0
AL355864.2	863	0	0	0	0	0	0
AL020995.1	1680	0	0	0	0	0	0
AK2	5727	2389	3302	2628	2115	2803	2666
AZIN2	9581	17	32	23	98	125	143
AL662907.1	1360	6	7	1	9	5	5
TRIM62	3976	323	431	193	203	277	286
AL662907.2	3448	0	2	6	1	3	3
AL662907.3	1947	0	0	0	0	0	1
ZNF362	3384	746	1077	590	1174	1545	1224
AL513327.3	469	27	50	39	84	112	70
A3GALT2	1023	0	0	0	6	3	4
AL513327.1	4015	1	1	0	0	1	0
PHC2	4975	583	777	345	4641	6196	5232
MIR3605	100	1	0	5	12	6	4
RN7SKP16	299	4	1	1	34	32	25
AL513327.2	490	2	6	2	7	19	17
TLR12P	2706	0	0	0	0	0	0
ZSCAN20	5308	256	295	285	809	1106	1102
AC115285.1	736	0	0	0	0	0	0
CSMD2	18157	1010	1136	699	155	244	236
HSPD1P14	1618	0	0	0	0	0	0
HMGB4	2561	0	2	0	0	4	0
CSMD2-AS1	2619	0	0	0	2	0	0
RNA5SP42	115	0	0	0	0	0	0
C1orf94	3339	120	196	106	3	4	0
AC115286.1	434	0	0	0	0	0	0
AC099565.1	1426	0	0	0	0	0	0
MIR552	96	0	0	0	0	0	0
SMIM12	10337	903	1151	802	897	1189	1006
GJB5	1355	0	0	0	2	8	4
GJB4	1444	0	3	0	1	2	0
AL121988.1	560	0	0	0	3	1	3
GJB3	2362	15	18	18	0	1	2
GJA4	1716	13	9	3	0	1	0
AL122010.1	720	0	0	0	0	0	0
DLGAP3	4042	426	622	133	95	124	122
AC114490.3	3163	3	3	4	11	13	15
AC114490.1	1887	4	9	1	8	8	3
AC114490.2	3099	0	0	0	0	0	0
TMEM35B	922	0	0	0	0	0	0
ZMYM6	9568	80	152	129	176	222	192
ZMYM1	5205	603	833	1026	1213	1540	1657
RPL12P45	478	0	0	0	0	0	0
EFCAB14P1	463	0	1	0	1	1	0
AL590434.1	1886	4	2	0	3	1	5
SFPQ	7419	9720	11601	12387	7819	10619	10248
ZMYM4	7647	2334	2849	3385	3498	5026	4751
RN7SL503P	303	0	0	0	0	0	0
RF00091	813	1	1	1	5	1	0
RPL5P4	886	12	7	11	15	25	30
ZMYM4-AS1	459	0	0	0	0	0	0
KIAA0319L	9619	2861	3701	2742	3498	4369	4004
AC004865.1	1003	0	0	0	0	0	0
NCDN	4917	1463	2087	591	1197	1493	1344
AC004865.2	1030	2	4	1	7	7	11
TFAP2E	2272	61	57	50	55	70	68
PSMB2	4528	2705	3736	2092	2561	3436	3247
C1orf216	3049	548	756	514	423	517	478
CLSPN	9591	849	1120	1253	1021	1297	1357
AL354864.1	539	0	2	0	4	0	0
AGO4	7423	512	658	632	1411	2063	2002
AGO1	13890	11039	12930	12608	5204	7221	6891
AL139286.1	483	0	0	0	0	0	0
AL139286.3	1802	0	0	0	0	0	0
AL139286.2	396	1	2	0	1	4	1
AGO3	21153	653	772	885	1574	2137	2023
AL138787.2	659	0	0	0	0	0	0
AL138787.1	1674	1	0	0	0	1	2
TEKT2	1959	24	40	21	143	171	159
ADPRHL2	1651	567	771	276	859	1127	1066
COL8A2	4669	84	114	76	11	16	19
TRAPPC3	3527	942	1336	1134	1660	2381	1971
MAP7D1	5271	2081	2987	1291	3934	5323	4203
RN7SL131P	256	0	0	0	0	0	0
THRAP3	4720	5388	7461	7739	6550	9483	8868
UBE2V2P4	259	0	0	0	0	0	0
SH3D21	4474	221	286	135	1208	1466	1319
EVA1B	1211	91	135	9	82	157	113
AL591845.1	1838	118	133	102	262	341	389
AL591845.2	4878	19	26	22	39	40	41
STK40	5590	832	1094	487	1474	2007	1721
LSM10	1506	536	722	261	613	830	805
RNU4-27P	139	0	0	0	0	0	0
OSCP1	2788	41	69	41	185	272	274
SNORA63C	129	0	0	0	0	3	3
MRPS15	2863	1423	2154	1441	998	1467	1382
CSF3R	8429	0	0	2	14	13	15
FTLP18	523	0	0	0	0	0	0
AL596257.1	2694	0	2	0	0	11	5
AC117945.2	1521	3	4	2	1	0	0
AC117945.1	778	0	0	0	0	2	0
GRIK3	10497	1152	1412	1050	31	55	44
AL031430.1	1039	0	0	0	0	0	0
AL353604.1	3153	0	0	0	0	0	0
MIR4255	72	0	0	0	0	0	0
RNU6-636P	107	0	0	0	0	0	0
RNA5SP43	110	0	0	0	0	0	0
RPS29P6	145	0	0	0	0	0	0
LINC01137	3019	18	25	9	6	16	15
ZC3H12A	3091	315	473	159	254	373	292
MIR6732	60	0	0	0	0	0	0
MEAF6	3487	646	794	686	1062	1517	1412
MIR5581	60	8	12	10	25	20	46
SNIP1	5718	609	754	572	1146	1506	1293
FTH1P1	532	0	0	0	0	0	0
AL034379.1	253	0	1	0	1	1	0
DNALI1	4456	161	225	147	570	785	758
GNL2	5747	916	1107	1100	1074	1341	1456
AL513220.1	1326	0	0	0	0	0	1
RSPO1	3058	5	4	3	85	109	124
C1orf109	4434	782	910	795	939	1271	1227
CDCA8	2406	1717	2193	1647	2558	3324	2855
EPHA10	8152	32	32	18	11	9	15
ACTN4P2	1892	0	0	0	0	0	0
AL929472.1	429	0	0	2	0	0	0
MANEAL	3018	311	357	226	87	87	88
AL929472.3	700	3	6	7	9	34	33
YRDC	1848	588	785	500	843	1137	981
C1orf122	2231	240	469	83	408	498	430
MTF1	7989	466	580	540	817	1182	1082
AL929472.4	691	0	0	0	0	0	0
AL929472.2	481	5	3	2	1	8	3
INPP5B	8930	1352	1533	1404	2144	2766	2509
RF00092	707	0	0	0	1	2	0
RNU6-584P	95	0	0	0	0	0	0
SF3A3	3894	4580	5782	5355	4262	5716	5532
RNU6-510P	108	0	0	1	4	2	0
FHL3	2004	424	612	149	773	998	822
UTP11	3381	669	912	1008	802	1100	1040
POU3F1	2184	190	266	80	316	456	377
AL139158.2	684	6	12	8	20	28	17
AL139158.1	340	0	0	0	0	0	0
MIR3659	99	3	0	0	0	6	1
AL139158.3	1562	0	1	1	0	0	0
AL390839.1	1033	0	0	1	0	1	0
AL390839.2	1235	1	2	4	0	3	5
LINC01343	2573	0	0	0	0	0	0
AL513479.1	585	0	0	0	0	0	0
RNU6-753P	107	0	0	0	0	0	0
LINC01685	3673	0	0	0	0	1	0
AL354702.1	1960	0	0	0	0	0	0
AL354702.2	1240	0	0	0	0	0	1
RRAGC	5116	191	249	268	406	553	561
AL139260.2	2171	0	0	0	0	0	0
AL139260.1	2004	9	11	7	18	37	32
MYCBP	2773	444	581	794	378	586	578
AL139260.3	3251	0	0	0	0	0	0
GJA9	2057	0	0	0	0	0	0
RHBDL2	2826	1	4	4	4	16	8
RNU6-605P	108	0	0	0	0	0	1
EIF1P2	350	0	0	0	0	0	0
AKIRIN1	2688	7420	8969	9576	6158	7912	7760
NDUFS5	548	553	889	418	470	597	569
MACF1	40739	16304	18772	19339	16622	23454	23583
RNU6-608P	104	0	0	0	0	0	0
RNA5SP44	133	0	0	0	0	0	0
AL356055.1	446	2	2	2	3	14	8
AL442071.2	1941	0	0	0	0	0	0
AL442071.1	558	0	0	0	0	0	0
HSPE1P8	288	0	0	0	0	0	0
BMP8A	5636	26	31	10	15	28	18
OXCT2P1	1535	3	3	0	0	1	4
PPIEL	5416	27	49	35	65	77	82
PABPC4	6782	7184	8558	8910	7095	8788	8228
PABPC4-AS1	1408	0	0	1	0	1	1
SNORA55	135	38	30	30	20	48	30
HEYL	4077	70	69	51	514	720	596
AL035404.2	304	0	0	0	0	0	0
NT5C1A	1107	0	0	0	0	1	0
HPCAL4	4758	10	17	15	9	12	16
PPIE	8071	797	1083	719	1706	2281	2119
AL035404.1	568	0	0	0	0	0	0
